Start Station Name,Month of Starttime,Number of Records
MTL-AOS-5.1,March,1
Somers St & Broadway,March,29
Stephen St & Seneca Ave,March,27
Hoyt St & Warren St,March,79
Linden St & Knickerbocker Ave,March,39
Bushwick Ave & Furman Ave,March,42
Broadway & Furman Ave,March,64
Cypress Ave & George St,March,44
Fairview Ave & Linden St,March,63
Menahan St & Onderdonk Ave,March,38
Centre St & Seneca Ave,March,58
Metropolitan Ave & Vandervoort Ave,March,49
Halsey St & Evergreen Ave,March,67
Stanhope St & Fairview Ave,March,55
Hancock St & Wyckoff Ave,March,51
Willoughby Ave & Onderdonk Ave,March,41
Menahan St & Seneca Ave,March,49
Onderdonk Ave & Dekalb Ave,March,86
Metropolitan Ave & Stewart Ave,March,56
Onderdonk Ave & Gates Ave,March,85
Moffat St & Bushwick,March,80
Cypress Ave & Palmetto St,March,79
Madison St & Evergreen Ave,March,77
Central Ave & Decatur St,March,92
Frost St & Debevoise Ave,March,56
Central Ave & Covert St,March,92
Van Sinderen Ave & Truxton St,March,93
Cedar St & Evergreen Ave,March,113
Madison St & Forest Ave,March,95
Suydam St & St. Nicholas Ave,March,84
Putnam Ave & Knickerbocker Ave,March,91
Madison St & Cypress Ave,March,82
Woodward Ave & Harman St,March,76
Railroad Ave & Kay Ave,March,57
Madison St & Woodward Ave,March,90
Harman St & Seneca Ave,March,102
Eldert St & Bushwick Ave,March,96
Flushing Ave & Woodward Ave,March,112
Menahan St & Wyckoff Ave,March,102
Columbia St & Lorraine St,March,87
Bushwick Ave & Forrest St,March,119
Knickerbocker Ave & Cooper St,March,79
Knickerbocker Ave & Halsey St,March,108
White St & Johnson Ave,March,92
Central Ave & Melrose St,March,122
Stewart Ave & Johnson Ave,March,80
Central Ave & Himrod St,March,128
Myrtle Ave & Grove St,March,101
Greene Ave & Grandview Ave,March,101
Bushwick Ave & Linden St,March,132
Central Ave & Weirfield St,March,116
Jefferson Ave & Evergreen Ave,March,105
Wall St & South St,March,273
21 St & 38 Ave,March,109
Menahan St & Central Ave,March,120
Morgan Ave & Maspeth Ave,March,138
Harrison Pl & Porter Ave,March,94
Henry St & Bay St,March,123
Madison St & Seneca Ave,March,113
Forest Ave & Summerfield St,March,149
Bushwick Ave & Dekalb Ave,March,152
11 St & 35 Ave,March,112
Hart St & Wyckoff Ave,March,128
Knickerbocker Ave & Hancock St,March,131
Bushwick Ave & Stagg St,March,119
Wyckoff St & Bond St,March,58
Van Buren St & Broadway,March,162
Montgomery St & Franklin Ave,March,136
Wilson Ave & Moffat St,March,114
Irving Ave & Halsey St,March,141
47 Ave & Skillman Ave,March,114
Bushwick Ave & Harman St,March,153
34 Ave & 13 St,March,130
Rockaway Ave & Bainbridge St,March,154
27 Ave & 3 St,March,138
Dwight St & Van Dyke St,March,168
Broadway & Hancock St,March,166
Irving Ave & Palmetto St,March,130
Carroll St & Franklin Ave,March,146
Putnam Ave & Wyckoff Ave,March,153
Evergreen Ave & Noll St,March,195
Pioneer St & Richards St,March,150
Green St & McGuinness Blvd,March,120
Jefferson St & Cypress Ave,March,140
Halsey St & Broadway,March,236
23 Ave & 27 St,March,178
48 Ave & 30 Pl,March,163
