Rideable Type,Month of Started At,Count of Ride Id
electric_bike,December,9493
docked_bike,December,103
classic_bike,December,38989
electric_bike,November,15132
docked_bike,November,202
classic_bike,November,57375
electric_bike,October,20645
docked_bike,October,441
classic_bike,October,68472
electric_bike,September,24559
docked_bike,September,824
classic_bike,September,78864
electric_bike,August,26597
docked_bike,August,1141
classic_bike,August,87493
electric_bike,July,34357
docked_bike,July,1438
classic_bike,July,72707
electric_bike,June,38283
docked_bike,June,1125
classic_bike,June,63891
electric_bike,May,29427
docked_bike,May,1155
classic_bike,May,49900
electric_bike,April,21161
docked_bike,April,731
classic_bike,April,40636
electric_bike,March,19184
docked_bike,March,363
classic_bike,March,32124
electric_bike,February,11982
docked_bike,February,157
classic_bike,February,19772
electric_bike,January,9733
docked_bike,January,77
classic_bike,January,16952
