Month of Started At,Rideable Type,Count of Ride Id
January,electric_bike,9733
February,electric_bike,11982
March,electric_bike,19184
April,electric_bike,21161
May,electric_bike,29427
June,electric_bike,38283
July,electric_bike,34357
August,electric_bike,26597
September,electric_bike,24559
October,electric_bike,20645
November,electric_bike,15132
December,electric_bike,9493
January,docked_bike,77
February,docked_bike,157
March,docked_bike,363
April,docked_bike,731
May,docked_bike,1155
June,docked_bike,1125
July,docked_bike,1438
August,docked_bike,1141
September,docked_bike,824
October,docked_bike,441
November,docked_bike,202
December,docked_bike,103
January,classic_bike,16952
February,classic_bike,19772
March,classic_bike,32124
April,classic_bike,40636
May,classic_bike,49900
June,classic_bike,63891
July,classic_bike,72707
August,classic_bike,87493
September,classic_bike,78864
October,classic_bike,68472
November,classic_bike,57375
December,classic_bike,38989
