Start Station Name,End Station Latitude,End Station Longitude,Number of Records
West St & Chambers St,40.733080844,-74.001097573,14313
W 52 St & 6 Ave,40.759367013,-73.980305855,10521
W 41 St & 8 Ave,40.753246312,-73.983630219,17089
W 38 St & 8 Ave,40.750326478,-73.986539206,14726
W 33 St & 7 Ave,40.747808557,-73.983561808,13644
W 31 St & 7 Ave,40.743645250,-73.986233060,14962
W 27 St & 7 Ave,40.743541116,-73.991393166,12445
W 26 St & 8 Ave,40.747067046,-73.994024289,12002
W 24 St & 7 Ave,40.743100943,-73.993789513,12962
W 21 St & 6 Ave,40.743565718,-73.994015741,21007
W 20 St & 11 Ave,40.740756665,-73.997042328,15258
W 18 St & 6 Ave,40.739707423,-73.990783833,11147
University Pl & E 14 St,40.734486564,-73.992579215,15133
South End Ave & Liberty St,40.723055457,-74.004191519,11039
Pershing Square South,40.745683657,-73.985539068,12249
Pershing Square North,40.745566629,-73.986513220,26806
Lafayette St & E 8 St,40.733420227,-73.990118286,14744
Great Jones St,40.729674084,-73.991223652,12039
Grand St & Elizabeth St,40.723282235,-73.990563213,13743
E 47 St & Park Ave,40.756359724,-73.980230171,15545
E 32 St & Park Ave,40.744059825,-73.983736447,12834
E 25 St & 2 Ave,40.736717643,-73.986916076,11737
E 24 St & Park Ave S,40.741596929,-73.987123109,11975
E 23 St & 1 Ave,40.740588950,-73.983497802,10643
E 20 St & 2 Ave,40.735627873,-73.987710545,12045
E 17 St & Broadway,40.737926564,-73.989439004,19868
E 16 St & 5 Ave,40.736708642,-73.991681295,11306
E 15 St & 3 Ave,40.736323091,-73.987793315,11040
E 13 St & Avenue A,40.730627516,-73.987973585,15989
E 7 St & Avenue A,40.730068251,-73.988789171,11220
Cooper Square & Astor Pl,40.730192188,-73.988655310,12785
Columbus Ave & W 72 St,40.768373307,-73.977717228,11613
Cleveland Pl & Spring St,40.726463631,-73.992669932,11365
Christopher St & Greenwich St,40.734045506,-73.999486747,15729
Carmine St & 6 Ave,40.732132974,-73.995153797,12209
Broadway & W 60 St,40.769433950,-73.978801267,15908
Broadway & W 56 St,40.757650268,-73.983020846,15204
Broadway & W 49 St,40.755859581,-73.985246095,11239
Broadway & W 41 St,40.750232248,-73.985845661,12962
Broadway & W 29 St,40.743011598,-73.987748670,11266
Broadway & W 25 St,40.740511220,-73.990086645,15358
Broadway & E 22 St,40.737882969,-73.989129533,18795
Broadway & E 14 St,40.732256517,-73.989840632,16574
9 Ave & W 22 St,40.740182021,-73.996143861,12050
8 Ave & W 33 St,40.752131137,-73.987909819,17015
8 Ave & W 31 St,40.747386387,-73.990959592,20131
6 Ave & W 33 St,40.750040341,-73.984613907,17306
1 Ave & E 68 St,40.762797657,-73.968766449,12686
1 Ave & E 18 St,40.738081264,-73.985515774,12113
1 Ave & E 16 St,40.737302601,-73.984983510,13327
